,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
164,stationery,stationery,stationery,stationery,stationery,,,,,,,,,,,,,,,,,,,
165,pet_shop,pet_shop,pet_shop,pet_shop,pet_shop,pet_shop,pet_shop,,,,,,,,,,,,,,,,,
166,watches_gifts,watches_gifts,,,,,,,,,,,,,,,,,,,,,,
167,baby,baby,,,,,,,,,,,,,,,,,,,,,,
168,perfumery,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
169,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
170,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
171,auto,auto,,,,,,,,,,,,,,,,,,,,,,
172,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
173,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
174,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
175,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
176,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
177,baby,baby,construction_tools_lights,,,,,,,,,,,,,,,,,,,,,
178,auto,auto,,,,,,,,,,,,,,,,,,,,,,
179,bed_bath_table,home_confort,,,,,,,,,,,,,,,,,,,,,,
180,construction_tools_construction,housewares,,,,,,,,,,,,,,,,,,,,,,
181,computers_accessories,computers_accessories,,,,,,,,,,,,,,,,,,,,,,
182,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
183,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
184,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
185,small_appliances,health_beauty,,,,,,,,,,,,,,,,,,,,,,
186,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
187,market_place,market_place,,,,,,,,,,,,,,,,,,,,,,
188,auto,auto,,,,,,,,,,,,,,,,,,,,,,
189,air_conditioning,air_conditioning,,,,,,,,,,,,,,,,,,,,,,
190,telephony,telephony,,,,,,,,,,,,,,,,,,,,,,
191,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
192,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,,
193,health_beauty,health_beauty,health_beauty,health_beauty,,,,,,,,,,,,,,,,,,,,
194,small_appliances,small_appliances,,,,,,,,,,,,,,,,,,,,,,
195,drinks,auto,telephony,,,,,,,,,,,,,,,,,,,,,
196,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
197,garden_tools,garden_tools,,,,,,,,,,,,,,,,,,,,,,
198,luggage_accessories,luggage_accessories,,,,,,,,,,,,,,,,,,,,,,
199,,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,
200,perfumery,perfumery,,,,,,,,,,,,,,,,,,,,,,
201,housewares,housewares,,,,,,,,,,,,,,,,,,,,,,
202,small_appliances,small_appliances,,,,,,,,,,,,,,,,,,,,,,
203,construction_tools_construction,construction_tools_construction,,,,,,,,,,,,,,,,,,,,,,
204,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
205,christmas_supplies,christmas_supplies,,,,,,,,,,,,,,,,,,,,,,
206,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
207,stationery,stationery,,,,,,,,,,,,,,,,,,,,,,
208,baby,baby,,,,,,,,,,,,,,,,,,,,,,
209,bed_bath_table,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,
210,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,,
211,signaling_and_security,signaling_and_security,signaling_and_security,signaling_and_security,,,,,,,,,,,,,,,,,,,,
212,toys,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
213,bed_bath_table,bed_bath_table,,,,,,,,,,,,,,,,,,,,,,
214,baby,baby,,,,,,,,,,,,,,,,,,,,,,
215,furniture_decor,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,
216,toys,toys,,,,,,,,,,,,,,,,,,,,,,
217,sports_leisure,sports_leisure,sports_leisure,,,,,,,,,,,,,,,,,,,,,
218,toys,stationery,,,,,,,,,,,,,,,,,,,,,,
219,furniture_decor,furniture_decor,furniture_decor,,,,,,,,,,,,,,,,,,,,,
220,,pet_shop,,,,,,,,,,,,,,,,,,,,,,
